"playerID","avgSO","avgG","avgERA","avgIBB","rookie_year","n_years","team"
"schulmi01",0,1,4.5,4.5,1947,0,"CIN"
"schulmi02",1,1,0,0,2007,0,"ARI"
"schulwa01",0,2,6,6,1920,0,"SLN"
"schulwe01",0,1,9,9,1924,0,"CHA"
"schumha01",9,4,4,4,1906,0,"PHA"
"schumha02",69.6923076923077,30.0769230769231,3.96307692307692,3.96307692307692,1931,15,"NY1"
"schumsk01",1,1.33333333333333,6,6,2011,3,"CIN"
"schupfe01",55.3,21.6,4.0705,4.0705,1913,9,"NY1"
"schurwa01",29,26,3.72,3.72,1964,0,"CHN"
"schutca01",5,3,2.7,2.7,1996,0,"ATL"
"schwabl01",7,12,8.53,8.53,1948,0,"SLA"
"schwado01",58.2857142857143,24.5714285714286,3.14642857142857,3.14642857142857,1961,6,"PIT"
"schwaje01",29.5,27,4.455,4.455,1993,1,"CHA"
"schwami01",7,7,4.245,4.245,1989,1,"DET"
"schweha01",3,1,3.27,3.27,1913,0,"SLA"
"schweru01",3,3,3.86,3.86,1909,0,"CHN"
"schwich01",9,3.5,8.585,8.585,2011,1,"NYN"
"schwimi01",26,23.5,4.74,4.74,2011,1,"PHI"
"scoggji01",0,1,NA,NA,1913,0,"CHA"
"scorehe01",104.625,18.75,3.865,3.865,1955,7,"CLE"
"scottda01",13,16,5.85,5.85,1993,0,"CAL"
"scottdi01",7,3,5.14,5.14,1901,0,"CIN"
"scottdi02",3.5,6,9.605,9.605,1963,1,"CHN"
"scotted01",55,29.5,4.13,4.13,1900,1,"CIN"
"scottge01",1,2,4.5,4.5,1920,0,"SLN"
"scottja01",54.75,29.6666666666667,4.43875,4.43875,1916,13,"NY1"
"scottji01",105,35.2222222222222,2.29222222222222,2.29222222222222,1909,8,"CHA"
"scottle02",5,8,4.43,4.43,1945,0,"PHI"
"scottmi01",0,1,3,3,1886,0,"BL2"
"scottmi02",14,26.6,4.043,4.043,1972,5,"CAL"
"scottmi03",113,26.6923076923077,4.5,4.5,1979,12,"HOU"
"scottti01",36.1428571428571,39.4285714285714,5.52214285714286,5.52214285714286,1991,6,"MON"
"scribev01",17.5,17.75,4.66,4.66,2011,3,"OAK"
"scuddsc01",45.2,19.2,5.604,5.604,1989,4,"CIN"
"scurrro01",53.875,41.5,3.306875,3.306875,1980,8,"PIT"
"sealejo01",4,4,7.8,7.8,1964,1,"DET"
"seamaki01",6.5,13.5,1.71,1.71,1979,1,"SLN"
"seaneru01",33.7647058823529,32,5.41529411764706,5.41529411764706,1989,19,"ATL"
"searara01",27.5714285714286,36.2857142857143,3.51357142857143,3.51357142857143,1981,9,"CHA"
"searcst01",28,14,5.742,5.742,1988,4,"DET"
"seatoto01",107.333333333333,38.5,3.02166666666667,3.02166666666667,1912,5,"BRF"
"seatsto01",34.5,28.5,4.525,4.525,1940,5,"BRO"
"seaveto01",182,32.8,3.0025,3.0025,1967,19,"NYN"
"seaybo01",23.75,32.625,4.70125,4.70125,2001,8,"DET"
"sebrabo01",46.8333333333333,15.6666666666667,6.17583333333333,6.17583333333333,1985,5,"MON"
"sechrdo01",0,1,NA,NA,1899,0,"NY1"
"secrido01",16,14,5.8,5.8,1969,1,"CHA"
"seddoch01",14.6666666666667,12.6666666666667,6.04666666666667,6.04666666666667,2007,5,"CLE"
"sedgwdu01",12.5,10.5,6.4,6.4,1921,2,"PHI"
"sedlash01",52,16,6.72,6.72,2002,0,"KCA"
"seech01",3,1,6,6,1920,0,"CIN"
"seelbch01",19.75,18.75,6.2375,6.2375,1971,3,"DET"
"seelbch02",4.5,3.5,9.34,9.34,2000,1,"ATL"
"seeryem01",2,2,7.71,7.71,1886,0,"SL5"
"segelhe01",4,3,8.31,8.31,1982,0,"CHN"
"segovza01",3,4.5,8.42,8.42,2007,2,"PHI"
"seguidi01",86.5333333333333,42.6,3.798,3.798,1962,15,"KC1"
"segurjo01",5.33333333333333,7.33333333333333,10.97,10.97,1988,3,"CHA"
"seibeph01",1,2,0,0,2004,0,"BOS"
"seiboso01",37,23.875,4.41125,4.41125,1916,17,"BSN"
"seitzke01",1,1,0,0,1993,0,"OAK"
"seleaa01",93.8,26.9333333333333,4.582,4.582,1993,14,"BOS"
"selleje01",56.5,15.25,4.67,4.67,1985,3,"BOS"
"sellep01",3.5,6,6.41,6.41,1922,1,"SLN"
"sellsda01",12.25,22.5,4.115,4.115,1972,3,"CAL"
"selmadi01",68.1,30.7,4.675,4.675,1965,9,"NYN"
"selmafr01",0,1,8,8,1873,0,"BL4"
